ano_campeonato;data;rodada;estadio;arbitro;publico;publico_max;time_mandante;time_visitante;tecnico_mandante;tecnico_visitante;colocacao_mandante;colocacao_visitante;valor_equipe_titular_mandante;valor_equipe_titular_visitante;idade_media_titular_mandante;idade_media_titular_visitante;gols_mandante;gols_visitante;gols_1_tempo_mandante;gols_1_tempo_visitante;media_gol_mandante;media_gol_visitante;Artilheiro;Resultado_Jogo;escanteios_mandante;escanteios_visitante;faltas_mandante;faltas_visitante;chutes_bola_parada_mandante;chutes_bola_parada_visitante;defesas_mandante;defesas_visitante;impedimentos_mandante;impedimentos_visitante;chutes_mandante;chutes_visitante;chutes_fora_mandante;chutes_fora_visitante
2007;03/05/2007;1;Estádio Beira-Rio;Paulo César de Oliveira;11870;;Internacional;Botafogo;;;12;6;;;;;2;3;1;1;2;3;Visitante;Visitante Vencedor;;;;;;;;;;;;;;
2007;03/05/2007;1;Estádio Orlando Scarpelli;Vinícius da Costa;6222;;Figueirense FC;Atlético-PR;;;18;1;;;;;3;6;1;3;3;2;Visitante;Visitante Vencedor;;;;;;;;;;;;;;
2007;03/05/2007;1;Estádio Durival Britto e Silva;Elvecio Zequetto;3568;;Paraná;Grêmio;Zetti;Mano Menezes;3;20;1000000;1500000;26.5;24.0;3;0;1;0;2;2;Mandante;Mandante_Vencedor;;;;;;;;;;;;;;
2007;03/05/2007;1;Estádio Jornalista Mário Filho;Leonardo Gaciba da Silva;7801;;Flamengo;Palmeiras;Ney Franco;Caio Júnior;16;4;550000;3750000;26.2;26.7;2;4;1;2;2;2;Mandante;Mandante_Vencedor;;;;;;;;;;;;;;
2007;03/05/2007;1;Estádio Jornalista Mário Filho;Wallace Nascimento Valente;12132;;Fluminense;Cruzeiro;Renato Gaúcho;Dorival Júnior;11;10;7200000;5750000;24.4;24.1;2;2;1;2;3;3;Mandante;Mandante_Vencedor;;;;;;;;;;;;;;
2007;03/05/2007;1;Estádio Cícero Pompeu de Toledo;Marcelo de Lima Henrique;0;;São Paulo;Goiás EC;;;5;17;;;;;2;0;2;0;2;2;Visitante;Visitante Vencedor;;;;;;;;;;;;;;
2007;03/05/2007;1;Estádio Adelmar da Costa Carvalho;Antonio Hora Filho;23273;;Sport Recife;Santos FC;Giba;Vanderlei Luxemburgo;2;19;2750000;5350000;26.2;24.4;4;1;3;1;2;3;Mandante;Mandante_Vencedor;;;;;;;;;;;;;;
2007;03/05/2007;1;Estádio Governador Magalhães Pinto;Elmo Alves Resende Cunha;5116;;Atlético-MG;Náutico;Tico dos Santos;Paulo César Gusmão;7;13;1650000;500000;24.6;26.4;2;1;1;1;3;3;Mandante;Mandante_Vencedor;;;;;;;;;;;;;;
2007;03/05/2007;1;Estádio Municipal Paulo Machado de Carvalho;Alício Pena Junior;5806;;Corinthians;Juventude;;;8;15;;;;;1;0;1;0;2;2;Visitante;Visitante Vencedor;;;;;;;;;;;;;;
2007;03/05/2007;1;Estádio João Cláudio de Vasconcelos Machado;Washington José Alves de Souza;26469;;América-RN;Vasco da Gama;;;14;9;;;;;0;1;0;0;1;3;N�o Tem;Empate;;;;;;;;;;;;;;
2007;20/05/2007;2;Allianz Parque;Lourival Dias Lima Filho;19047;;Palmeiras;Figueirense FC;Caio Júnior;Mário Sérgio;4;18;3750000;50000;26.6;23.2;2;1;2;0;2;3;Mandante;Mandante_Vencedor;;;;;;;;;;;;;;
2007;20/05/2007;2;Arena da Baixada;Clever Assunção Gonçalves;8932;;Atlético-PR;Internacional;;;1;12;;;;;2;1;1;1;2;2;Visitante;Visitante Vencedor;;;;;;;;;;;;;;
2007;20/05/2007;2;Estádio Alfredo Jaconi;Cleber Wellington Abade;3366;;Juventude;Paraná;;;15;3;;;;;1;2;0;0;2;2;Visitante;Visitante Vencedor;;;;;;;;;;;;;;
2007;20/05/2007;2;Estádio São Januário;Giulliano Bozzano;16682;;Vasco da Gama;Sport Recife;Celso Roth;Giba;9;2;750000;2750000;26.4;26.0;3;1;2;0;3;2;Mandante;Mandante_Vencedor;;;;;;;;;;;;;;
2007;20/05/2007;2;Estádio Urbano Caldeira;Washington José Alves de Souza;3093;;Santos FC;América-RN;;;19;14;;;;;2;3;2;1;3;1;Visitante;Visitante Vencedor;;;;;;;;;;;;;;
2007;20/05/2007;2;Estádio Olímpico Monumental;Alício Pena Junior;14968;;Grêmio;Fluminense;Mano Menezes;Renato Gaúcho;20;11;3000000;7700000;28.0;24.0;2;0;1;0;2;3;Mandante;Mandante_Vencedor;;;;;;;;;;;;;;
2007;20/05/2007;2;Estádio Jornalista Mário Filho;Evandro Rogerio Roman;5991;;Botafogo;Atlético-MG;;;6;7;;;;;2;1;1;0;3;3;Visitante;Visitante Vencedor;;;;;;;;;;;;;;
